Ministério,Categoria 01,title/pt-BR,body/pt-BR
Educação,Ensino Fundamental,Educação Ambiental ,"Garantir nas escolas de alfabetização até o  grau médio, a Educação Ambiental,  como disciplina."
Direitos Humanos e Cidadania,Educação,Pelo bem viver das mulheres ,"Construir creches noturnas, para que as mulheres, sobretudo as que são chefes de família,  terem onde deixar seus filhos em segurança para trabalhar sem a preocupação de deixar com terceiros."
Saúde,SUS ,Proposta de programa n.01 ,Esse projeto visa melhorar o acesso à saúde pública em regiões distantes dos grandes centros urbanos.
Educação,Servidores Públicos,Proposta de programa n.02 ,Programa de valorização de servidores da educação
Justiça e Segurança Pública,Ampliação de Infraestrutura,Proposta de programa n.03 ,Câmeras de segurança nas ruas em perímetro que cerca as escolas públicas federais.
Transportes,Ampliação de Infraestrutura,Construção dos dispositivos de acesso da Br 324 Bahia,"Implementação dos dispositivos de acesso na BR324, nos kms 545, 548 e 560, para garantir o direito básico de ir e vir com segurança da sociedade do Território Portal do Sertão"
Previdência Social,Reforma previdência ,Aposentadoria das mulheres ,Que as idades para aposentadoria das mulheres fossem a idade menor para contribuição. E que as empresas fossem orientadas a contratar pessoas idosas se não estivessem aposentadas .
Educação,Ampliação de Infraestrutura,Padronização das unidades escolares ,"Reestruturação das unidades escolares de toda a Bahia, garantindo a padronização dos prédios, conforme orientações FNDE. Com construção de quadras, ampliação das salas de aula, Reestruturação dos banheiros e no refeitório. Garantindo equidade no processo de ensino aprendizagem"
Meio Ambiente e Mudança do Clima,Ampliação de Infraestrutura,"Potencializar a exploração sustentável da Cachoeira da Pedreira, no município de Amélia Rodrigues ","Oportunizar infraestrutura na Cachoeira da Pedreira( município de Amélia Rodrigues)-Ba), enquanto potencial de recurso Natural, configurando-a como Área de Proteção Ambiental (APA)."
 Integração e Desenvolvimento Regional,Ampliação de Infraestrutura,Iluminação com lâmpadas solares nos postes dos parques,"Visto o grande número de roubos dos fios de cobre dos postes nos parques de João pessoa, a implementação de lâmpadas solares evitaria consideravelmente que os parques fiquem sem iluminação. Pois os mesmos são usados por crianças para brincar, idosos e demais pessoas para fazerem caminhadas, práticas esportivas. E hoje no parque Parahyba 1,2 e 3 a população vem sofrendo com a falta de iluminação, oque ocasiona maior perigo de assaltos na região."
Educação,Ensino ,Fomento ao Integral,"Reestabelecer a política de Educação Integral a partir do fomento federal, ofertando formação e bolsa digna aos voluntários. Garantindo as estruturas escolares, a logística de transporte, dentre outras demandas."
Educação,Ampliação de Infraestrutura,Padronização nas unidades de ensino,"Estabelecer e criar melhorias nas escolas, para transformar os adolescentes do ensino ao mercado de trabalho."
Minas e Energia,Ampliação de Infraestrutura,Reestatização da Eletrobrás ,"A privatização reduz a segurança energética do país. Os “jabutis” acrescentados à lei de privatização e o desejo de recuperar o mais rápido possível o que pagaram levará a aumento significativo das tarifas, comprometendo o acesso a energia aos mais carentes e áreas de maior custo pra levar a energia como áreas rurais. Com o controle dos nossos rios, ameaça  comunidades ribeirinhas. A experiência internacional mostra que a ausencia de manutenção e investimento gera o risco inclusive de apagões ."
Educação,Ensino ,"Revogar o ""Novo Ensino Médio"" que prejudica os jovens","Com urgência reduzir a quantidade de aulas em itinerários bizarros que TIRARAM aulas de matemática, português, física, química, redação, geografia e história e estão DESTRUINDO a formação dos jovens que saem muito pior hoje em dia, sem formação consistente."
Transportes,"Transporte 
", Capacitação em direção defensiva para estudantes de escolas de tempo integral.,"Como sabe, a habilidade de dirigir é valiosa que traz benefícios tanto na vida acadêmica quanto profissional dos estudantes.
Pra essa capacitação, escola de tempo integral ofereceria curso de direção defensiva com abordagem prática e teórica. O curso seria desenvolvido em conjunto com autoescola credenciada, com duração de 30 horas e divididas em aulas teóricas e práticas. Ao final do curso, com seus certificados de conclusão do curso, aumentar suas chances de inserção no mercado de trabalho."
Cidades,"Ações afirmativas 
",Programa Periferia Viva,"A Secretaria Nacional de Periferias propõe o Programa Periferia Viva, para articular todas as políticas públicas do Estado nos territórios periféricos e garantir a participação popular nas decisões. Nas periferias, não basta só um tipo de intervenção do Estado. São décadas de abandono, carências e vulnerabilidades. E também décadas de organização popular para exigir os direitos e criar soluções. O Periferia Viva é uma inovação do governo Lula para mudar a vida do povo das periferias do Brasil."
